major_classification,minor_classification,company_number,total_word_count,governance_word_count,strategy_word_count,talent_strategy_word_count,risk_management_word_count,indicators_word_count,talent_indicators_word_count,,,,,,,,,,,
全体,AAA,30,9715 ,755 ,2037 ,2304 ,559 ,1221 ,1078 ,,,,,,,,,,,
全体,AA,113,7841 ,630 ,2028 ,1954 ,536 ,1159 ,1140 ,,,,,,,,,,,
全体,A,32,6556 ,467 ,1339 ,1821 ,437 ,879 ,767 ,,,,,,,,,,,
全体,BBB,3,7493 ,379 ,3200 ,1252 ,265 ,1747 ,945 ,,,,,,,,,,,
全体,スコアなし,2754,3420 ,384 ,1087 ,943 ,345 ,639 ,542 ,,,,,,,,,,,
全体,売上大,290,6121 ,472 ,1459 ,1640 ,482 ,1033 ,868 ,,,,,,,,,,,
全体,売上中,285,4423 ,415 ,1357 ,1216 ,367 ,824 ,726 ,,,,,,,,,,,
全体,売上小,1483,2783 ,364 ,1017 ,793 ,313 ,556 ,454 ,,,,,,,,,,,
全体,小売 ,182,3395 ,365 ,1133 ,909 ,351 ,595 ,453 ,,,,,,,,,,,
全体,不動産 ,78,3352 ,370 ,1171 ,862 ,384 ,603 ,541 ,,,,,,,,,,,
全体,機械 ,166,3650,384,1135,973,361,734,593,,,,,,,,,,,
全体,電機・精密 ,223,4547,430,1299,1209,379,881,665,,,,,,,,,,,
全体,情報通信・サービスその他 ,676,3097,373,1091,916,317,585,525,,,,,,,,,,,
全体,商社・卸売 ,228,3583,455,1114,979,388,616,603,,,,,,,,,,,
全体,建設・資材 ,235,3652,376,1263,1005,345,608,479,,,,,,,,,,,
全体,運輸・物流 ,102,3845,435,1238,879,417,694,561,,,,,,,,,,,
全体,食品 ,101,4601,416,1071,1157,378,788,621,,,,,,,,,,,
全体,金融（除く銀行） ,73,5463,484,1535,1625,478,1018,885,,,,,,,,,,,
全体,素材・化学 ,217,3879,398,969,1039,333,692,692,,,,,,,,,,,
全体,医薬品 ,45,4389,470,1225,1134,347,760,680,,,,,,,,,,,
全体,鉄鋼・非鉄 ,67,4820,459,1265,1410,371,801,605,,,,,,,,,,,
全体,エネルギー資源 ,11,4371,465,584,1161,257,533,268,,,,,,,,,,,
全体,銀行 ,79,6789,562,1796,1659,573,1031,882,,,,,,,,,,,
全体,自動車・輸送機 ,96,3976,364,1170,1126,349,836,766,,,,,,,,,,,
全体,電力・ガス ,22,5351,472,1381,1159,363,801,722,,,,,,,,,,,
全体,全体,2601,3833,386,1056,958,341,620,524,,,,,,,,,,,
売上大,小売 ,23,6329,565,1336,1398,552,1072,645,,,,,,,,,,,
売上大,不動産 ,5,7601,439,1913,2451,726,1115,1974,,,,,,,,,,,
売上大,機械 ,10,7748,376,2388,2728,321,1179,1264,,,,,,,,,,,
売上大,電機・精密 ,27,6352,472,1975,1680,490,1215,695,,,,,,,,,,,
売上大,情報通信・サービスその他 ,25,5924,458,1433,1568,411,960,996,,,,,,,,,,,
売上大,商社・卸売 ,41,4626,445,1132,1259,483,554,619,,,,,,,,,,,
売上大,建設・資材 ,37,6190,446,2016,1827,509,1128,707,,,,,,,,,,,
売上大,運輸・物流 ,9,5357,620,2474,1261,455,1749,1112,,,,,,,,,,,
売上大,食品 ,22,7843,527,825,1647,643,1403,988,,,,,,,,,,,
売上大,金融（除く銀行） ,6,7623,412,2428,1788,715,1960,1229,,,,,,,,,,,
売上大,素材・化学 ,21,6861,475,821,1679,440,1057,1280,,,,,,,,,,,
売上大,医薬品 ,1,3957,417,2319,2314,318,389,380,,,,,,,,,,,
売上大,鉄鋼・非鉄 ,15,8700,456,979,2839,330,734,890,,,,,,,,,,,
売上大,エネルギー資源 ,4,6752,539,398,2048,388,696,392,,,,,,,,,,,
売上大,銀行 ,0,None,None,None,None,None,None,None,,,,,,,,,,,
売上大,自動車・輸送機 ,16,4910,387,1344,1295,415,1429,1010,,,,,,,,,,,
売上大,電力・ガス ,10,5678,607,1266,1060,401,842,854,,,,,,,,,,,
売上中,小売 ,23,4120,380,1506,1243,402,528,541,,,,,,,,,,,
売上中,不動産 ,8,2907,379,1161,554,366,759,656,,,,,,,,,,,
売上中,機械 ,18,3840,303,1248,947,305,893,661,,,,,,,,,,,
売上中,電機・精密 ,30,4329,403,1423,1347,392,778,715,,,,,,,,,,,
売上中,情報通信・サービスその他 ,31,4586,428,1379,1075,320,1104,932,,,,,,,,,,,
売上中,商社・卸売 ,39,4281,484,1379,1257,337,708,850,,,,,,,,,,,
売上中,建設・資材 ,35,4544,390,1497,1192,313,584,540,,,,,,,,,,,
売上中,運輸・物流 ,9,4385,521,2016,841,591,1424,508,,,,,,,,,,,
売上中,食品 ,7,7685,395,1278,2125,314,1357,375,,,,,,,,,,,
売上中,金融（除く銀行） ,0,None,None,None,None,None,None,None,,,,,,,,,,,
売上中,素材・化学 ,36,5166,417,1064,1342,397,750,1007,,,,,,,,,,,
売上中,医薬品 ,5,5646,482,1680,1947,282,531,506,,,,,,,,,,,
売上中,鉄鋼・非鉄 ,13,4328,412,1122,1084,502,789,505,,,,,,,,,,,
売上中,エネルギー資源 ,2,2223,557,412,954,227,622,186,,,,,,,,,,,
売上中,銀行 ,0,None,None,None,None,None,None,None,,,,,,,,,,,
売上中,自動車・輸送機 ,15,3851,358,1643,1332,335,1220,932,,,,,,,,,,,
売上中,電力・ガス ,3,3771,292,1613,893,366,1589,1044,,,,,,,,,,,
売上小,小売 ,90,2728,342,1109,800,311,567,437,,,,,,,,,,,
売上小,不動産 ,46,3014,362,1133,719,374,547,390,,,,,,,,,,,
売上小,機械 ,109,3186,405,1015,853,377,668,522,,,,,,,,,,,
売上小,電機・精密 ,120,3214,373,1000,853,334,640,465,,,,,,,,,,,
売上小,情報通信・サービスその他 ,445,2688,352,1056,860,303,534,455,,,,,,,,,,,
売上小,商社・卸売 ,120,2531,437,962,712,351,515,482,,,,,,,,,,,
売上小,建設・資材 ,126,2771,359,1084,751,303,506,417,,,,,,,,,,,
売上小,運輸・物流 ,22,2448,363,1090,587,271,557,348,,,,,,,,,,,
売上小,食品 ,54,3014,370,999,876,295,569,521,,,,,,,,,,,
売上小,金融（除く銀行） ,14,2952,307,979,848,266,362,413,,,,,,,,,,,
売上小,素材・化学 ,130,2958,366,1021,832,296,659,532,,,,,,,,,,,
売上小,医薬品 ,12,4253,411,1267,967,361,989,951,,,,,,,,,,,
売上小,鉄鋼・非鉄 ,30,3007,374,1305,864,264,640,498,,,,,,,,,,,
売上小,エネルギー資源 ,4,2605,237,780,393,142,395,189,,,,,,,,,,,
売上小,銀行 ,0,None,None,None,None,None,None,None,,,,,,,,,,,
売上小,自動車・輸送機 ,44,2876,371,792,725,325,422,357,,,,,,,,,,,
売上小,電力・ガス ,3,5093,296,603,645,234,239,325,,,,,,,,,,,
MSCIスコアA以上,小売 ,9,7863,337,1760,2353,308,1115,1043,,,,,,,,,,,
MSCIスコアA以上,不動産 ,5,6707,596,1862,941,1029,1396,1303,,,,,,,,,,,
MSCIスコアA以上,機械 ,12,7427,455,2385,2027,393,1427,994,,,,,,,,,,,
MSCIスコアA以上,電機・精密 ,30,9104,629,2051,2332,554,1606,1183,,,,,,,,,,,
MSCIスコアA以上,情報通信・サービスその他 ,27,7243,503,1389,1376,468,961,1040,,,,,,,,,,,
MSCIスコアA以上,商社・卸売 ,6,8651,883,2635,2186,584,975,844,,,,,,,,,,,
MSCIスコアA以上,建設・資材 ,8,7014,449,2097,1763,411,1198,849,,,,,,,,,,,
MSCIスコアA以上,運輸・物流 ,19,6007,512,1750,1294,464,646,568,,,,,,,,,,,
MSCIスコアA以上,食品 ,6,9736,669,2131,2353,515,1009,1143,,,,,,,,,,,
MSCIスコアA以上,金融（除く銀行） ,8,10547,1144,2806,3120,793,1268,1731,,,,,,,,,,,
MSCIスコアA以上,素材・化学 ,18,6048,526,1023,1523,364,676,1077,,,,,,,,,,,
MSCIスコアA以上,医薬品 ,5,10110,740,2670,2061,323,1157,1515,,,,,,,,,,,
MSCIスコアA以上,鉄鋼・非鉄 ,10,9434,863,1159,2931,460,1091,889,,,,,,,,,,,
MSCIスコアA以上,エネルギー資源 ,1,6206,987,893,893,218,252,252,,,,,,,,,,,
MSCIスコアA以上,銀行 ,4,13387,1729,5134,3668,1907,1010,481,,,,,,,,,,,
MSCIスコアA以上,自動車・輸送機 ,2,11293,770,4821,4962,477,3658,4962,,,,,,,,,,,
MSCIスコアA以上,電力・ガス ,5,4828,389,629,1238,438,456,657,,,,,,,,,,,